Su
6am
7am,Raul2,Severus2
8am,Percival2,Quasimodo2
9am,Navami2,Oliver2
10am,Voldemort,Margaret2,Quasimodo2
11am,Tom,Oliver2
12pm,Oliver,Quasimodo,Severus
1pm,Margaret,Navami,Raul
2pm,Oliver,Percival,Quasimodo
3pm,Tom2,Voldemort2
4pm
5pm
6pm
M
6am,Kyle2Sook,Lisa2Cook
7am,Ian2Nook,Jamal2Book
8am,Gertrude2Sook,Helga2Cook
9am,Edgar2Nook,Ferdinand2Book
10am,Bart2Book,Craig2Sook,Daniel2Cook
11am,Allen2Nook,Ferdinand2Book
12pm,KyleSook,LisaCook,Bart2Book
1pm,IanNook,JamalBook
2pm,FerdinandBook,HelgaCook
3pm,EdgarNook,GertrudeSook
4pm,BartBook,FerdinandBook
5pm,AllenNook,CraigSook
6pm,BartBook,DanielCook
T
6am,Kyle2Sook,Lisa2Cook
7am,Ian2Nook,Jamal2Book
8am,Gertrude2Sook,Helga2Cook
9am,Edgar2Nook,Ferdinand2Book
10am,Bart2Book,Craig2Sook,Daniel2Cook
11am,LisaCook,Ferdinand2Book
12pm,JamalBook,KyleSook,Allen2Nook
1pm,HelgaCook,IanNook
2pm,FerdinandBook,GertrudeSook
3pm,BartBook,CraigSook
4pm,EdgarNook,FerdinandBook
5pm,AllenNook,BartBook
6pm,DanielCook,Bart2Book
W
6am,Kyle2Sook,Lisa2Cook
7am,Ian2Nook,Jamal2Book
8am,Gertrude2Sook,Helga2Cook
9am
10am,Daniel2Cook,Edgar2Nook,Ferdinand2Book
11am,Bart2Book,Craig2Sook
12pm,KyleSook,LisaCook,Ferdinand2Book
1pm,HelgaCook,JamalBook,Bart2Book
2pm,GertrudeSook,IanNook,Allen2Nook
3pm,BartBook,FerdinandBook
4pm,DanielCook,EdgarNook
5pm,CraigSook,FerdinandBook
6pm,AllenNook,BartBook
Th
6am,Kyle2Sook,Lisa2Cook
7am,Ian2Nook,Jamal2Book
8am,Gertrude2Sook,Helga2Cook
9am,Daniel2Cook,Edgar2Nook
10am,Bart2Book,Craig2Sook,Ferdinand2Book
11am
12pm,LisaCook,Allen2Nook,Ferdinand2Book
1pm,HelgaCook,JamalBook,KyleSook
2pm,EdgarNook,FerdinandBook,Bart2Book
3pm,GertrudeSook,IanNook
4pm,BartBook,FerdinandBook
5pm,CraigSook,DanielCook
6pm,AllenNook,BartBook
F
6am,Kyle2Sook,Lisa2Cook
7am,Ian2Nook,Jamal2Book
8am,Gertrude2Sook,Helga2Cook
9am,Edgar2Nook,Ferdinand2Book
10am,Bart2Book,Craig2Sook,Daniel2Cook
11am,Allen2Nook,Ferdinand2Book
12pm,KyleSook,LisaCook,Bart2Book
1pm,HelgaCook,JamalBook
2pm,GertrudeSook,IanNook
3pm,EdgarNook,FerdinandBook
4pm,BartBook,DanielCook
5pm,CraigSook,FerdinandBook
6pm,AllenNook,BartBook
S
6am
7am,Raul2,Severus2
8am,Percival2,Quasimodo2
9am,Navami2,Oliver2
10am,Voldemort,Margaret2,Quasimodo2
11am,Quasimodo,Oliver2
12pm,Oliver,Raul,Severus
1pm,Navami,Percival,Quasimodo
2pm,Margaret,Oliver,Tom
3pm,Tom2,Voldemort2
4pm
5pm
6pm
